# Rad(km), Mass(Msun), Lambda, f-mode(kHz) 
1.141199e+01 6.226423e-01 3.003914e+04 1.464347e+00
1.154856e+01 7.084422e-01 1.708772e+04 1.491151e+00
1.169851e+01 8.006320e-01 9.907665e+03 1.516630e+00
1.185429e+01 8.985115e-01 5.869695e+03 1.541141e+00
1.201122e+01 1.001395e+00 3.546888e+03 1.565105e+00
1.216670e+01 1.108490e+00 2.187271e+03 1.587657e+00
1.231515e+01 1.218438e+00 1.375993e+03 1.609871e+00
1.245835e+01 1.331118e+00 8.821641e+02 1.630841e+00
1.259293e+01 1.445228e+00 5.765723e+02 1.650016e+00
1.271713e+01 1.559663e+00 3.843271e+02 1.668692e+00
1.283102e+01 1.673470e+00 2.601956e+02 1.686346e+00
1.293168e+01 1.785332e+00 1.796010e+02 1.702872e+00
1.302177e+01 1.895324e+00 1.260079e+02 1.717892e+00
1.310066e+01 2.002504e+00 8.971842e+01 1.731690e+00
1.316233e+01 2.099606e+00 6.618716e+01 1.744075e+00
1.321022e+01 2.185800e+00 5.055093e+01 1.754705e+00
1.324639e+01 2.262585e+00 3.978260e+01 1.764106e+00
1.327164e+01 2.330979e+00 3.199207e+01 1.772605e+00
1.328800e+01 2.391915e+00 2.634855e+01 1.780354e+00
1.329779e+01 2.446475e+00 2.204043e+01 1.787496e+00
1.330038e+01 2.494889e+00 1.870319e+01 1.794266e+00
1.329782e+01 2.538106e+00 1.610903e+01 1.800746e+00
1.329269e+01 2.577741e+00 1.403335e+01 1.806948e+00
1.328152e+01 2.612149e+00 1.235970e+01 1.812957e+00
1.326661e+01 2.642808e+00 1.099305e+01 1.818837e+00
1.324940e+01 2.670397e+00 9.857836e+00 1.824576e+00
1.322935e+01 2.694732e+00 8.943842e+00 1.830240e+00
1.320814e+01 2.716650e+00 8.106589e+00 1.835728e+00
1.318346e+01 2.735866e+00 7.422956e+00 1.841346e+00
1.315825e+01 2.752912e+00 6.831454e+00 1.846745e+00
1.313304e+01 2.769107e+00 6.317525e+00 1.852224e+00
1.310553e+01 2.782494e+00 5.868644e+00 1.857893e+00
1.307686e+01 2.794454e+00 5.477023e+00 1.863315e+00
1.304703e+01 2.804673e+00 5.135278e+00 1.868554e+00
1.301694e+01 2.813561e+00 4.842054e+00 1.873748e+00
1.298684e+01 2.821528e+00 4.559317e+00 1.879483e+00
1.295648e+01 2.828214e+00 4.319408e+00 1.884903e+00
1.292497e+01 2.833800e+00 4.101869e+00 1.890312e+00
1.289345e+01 2.838752e+00 3.904955e+00 1.895624e+00
1.286194e+01 2.842595e+00 3.728226e+00 1.901032e+00
1.283042e+01 2.846449e+00 3.561298e+00 1.906690e+00
1.279891e+01 2.849113e+00 3.414188e+00 1.912125e+00
1.276712e+01 2.850869e+00 3.280562e+00 1.917444e+00
1.273534e+01 2.852042e+00 3.159842e+00 1.922868e+00
1.270382e+01 2.852953e+00 3.046114e+00 1.928296e+00
1.267204e+01 2.853130e+00 2.942835e+00 1.933740e+00
